"","text","date","time","textfre","score","result","name"
"129","trump should pull a and choose a that is a both a woman and a person of color regardless of ",2020-09-19,"23:20:23"," pull choose woman person color regardless ",1,"postive","trump"
"130","lets keep it black ppl didnt put trump in office white ppl did should trump win a nd term it will be becau ",2020-09-19,"23:12:37","lets keep black ppl didnt put office white ppl win nd term will becau ",1,"postive","trump"
"131","mitch is a spineless puppet of trump please stop him stop them from fundamentally change the supreme ",2020-09-19,"23:03:59","mitch spineless puppet please stop stop fundamentally change supreme ",-2,"negative","trump"
"132"," why is it that trump and the crowd feels that lying to the american people is the only ",2020-09-19,"23:00:53"," crowd feels lying american people ",-1,"negative","trump"
"133","social security medicare and the election where do trump and biden stand do you know the differences and simi ",2020-09-19,"23:00:19","social security medicare election stand know differences simi ",0,"neutral","trump"
"134"," trump sept rv climate nexus",2020-09-19,"22:56:18"," sept rv climate nexus",0,"neutral","trump"
"135","the latest lie from the liar in chief about the bang up job he did with the pandemic trump if i could do covid ",2020-09-19,"22:49:12"," latest lie liar chief bang job pandemic covid ",-3,"negative","trump"
"136"," day trump victory",2020-09-19,"22:48:16"," day victory",1,"postive","trump"
"137","donald trump is a racist ",2020-09-19,"22:47:48"," racist ",-1,"negative","trump"
"138"," oh this is too amusing trump supporters blaming the left while ignoring all the stinking rot oozing ",2020-09-19,"22:36:19"," oh amusing supporters blaming left ignoring stinking rot oozing ",-1,"negative","trump"
"139","a hurtful and extremely wrong decision by the trump administration america is a country of immigrants ",2020-09-19,"22:35:33"," hurtful extremely wrong decision administration america country immigrants ",-2,"negative","trump"
"140","few trump or biden supporters have close friends who back the opposing candidate via ",2020-09-19,"22:20:02"," supporters close friends back opposing candidate via ",2,"postive","trump"
"141","the presidential debates between biden amp trump should also broadcast on public tv amp be live streamed online in real ",2020-09-19,"22:15:11"," presidential debates amp also broadcast public tv amp live streamed online real ",2,"postive","trump"
"142","will democrats grow backbones amid trumprepublican rush to replace ruth bader ginsburg ",2020-09-19,"22:15:00","will democrats grow backbones amid trumprepublican rush replace ruth bader ginsburg ",2,"postive","trump"
"143","make sure you are registered to vote this tell your friends tell your family lets get trump out ",2020-09-19,"22:06:44","make sure registered vote tell friends tell family lets get ",0,"neutral","trump"
"144","my god trumps supreme court rush pick is the new kenosha stop losing your shit guys we can and will win this th ",2020-09-19,"22:06:41"," god supreme court rush pick new kenosha stop losing shit guys can will win th ",2,"postive","trump"
"145"," is correct trump should appoint a nominee the judiciary committee should hold their hearings if ",2020-09-19,"22:02:01"," correct appoint nominee judiciary committee hold hearings ",1,"postive","trump"
"146","the democrats are overplaying their hand people may be ready to vote trump out but do they want a radical alternat ",2020-09-19,"22:00:04"," democrats overplaying hand people may ready vote want radical alternat ",1,"postive","trump"
"147","why do yall keep bringing up trumps failures at governance honesty amp decency to discredit him his supporters ",2020-09-19,"21:59:10"," yall keep bringing failures governance honesty amp decency discredit supporters ",1,"postive","trump"
"148","who should president trump pick for the us supreme court ",2020-09-19,"21:43:12"," president pick us supreme court ",3,"postive","trump"
"149","trump urges gop to move without delay as he ponders impact of supreme court on election ",2020-09-19,"21:33:58"," urges gop move without delay ponders impact supreme court election ",0,"neutral","trump"
